# Safe Internet App URL list
# Scanned: 2026-05-23
# Format: Homepage URL | Website Name | Category | Short Description
# Omitted after failed exact-homepage checks: OverDrive and Feedbooks

https://www.wikipedia.org | Wikipedia | Reference | Free volunteer-built encyclopedia covering broad topics in many languages.
https://www.britannica.com | Britannica | Reference | Expert-edited encyclopedia articles, biographies, videos, images, and reference material.
https://www.infoplease.com | Infoplease | Reference | Online encyclopedia, almanac, atlas, dictionary, thesaurus, and fact resource.
https://www.refseek.com | RefSeek | Research | Academic search engine for students and researchers.
https://www.merriam-webster.com | Merriam-Webster | Reference | Dictionary and language reference with definitions, word history, and usage help.
https://www.oed.com | Oxford English Dictionary | Reference | Historical English dictionary with word meanings, origins, and quotations.
https://www.vocabulary.com | Vocabulary.com | Learning | Vocabulary builder with a dictionary, quizzes, and word-learning activities.
https://www.thesaurus.com | Thesaurus.com | Reference | Synonyms, antonyms, and word choice help for English writing.
https://scholar.google.com | Google Scholar | Research | Search engine for scholarly articles, theses, books, abstracts, and court opinions.
https://www.jstor.org | JSTOR | Research | Digital library for academic journals, books, images, and primary sources.
https://www.worldcat.org | WorldCat | Research | Global library catalog for finding books, articles, music, and video nearby.
https://www.sciencedirect.com | ScienceDirect | Research | Scientific, technical, and medical research articles and book chapters.
https://www.researchgate.net | ResearchGate | Research | Network for discovering publications and connecting with researchers.
https://www.imdb.com | IMDb | Reference | Database for movies, TV, cast, crew, ratings, trailers, and entertainment details.
https://www.gutenberg.org | Project Gutenberg | Reading | Library of free public-domain ebooks in multiple formats.
https://genius.com | Genius | Reference | Lyrics, annotations, and music knowledge contributed by a large community.
https://todoist.com | Todoist | Tools | To-do list and task manager for personal and team planning.
https://www.notion.so | Notion | Tools | Workspace for notes, documents, databases, projects, and team collaboration.
https://asana.com | Asana | Tools | Project and task management platform for teams and organizations.
https://ticktick.com | TickTick | Tools | Task list, calendar, habit tracker, and reminder app.
https://trello.com | Trello | Tools | Visual boards and cards for organizing projects and tasks.
https://zapier.com | Zapier | Tools | Automation platform that connects apps, workflows, and AI tools.
https://ifttt.com | IFTTT | Tools | No-code automation service for connecting apps, devices, and online services.
https://www.make.com | Make | Tools | Visual workflow automation platform for apps, data, and AI processes.
https://www.brain.fm | Brain.fm | Tools | Functional music designed to support focus, relaxation, and sleep.
https://toggl.com/track | Toggl Track | Tools | Time tracking software for projects, reports, and productivity review.
https://www.rescuetime.com | RescueTime | Tools | Automatic time tracking and focus tools for understanding work habits.
https://pomofocus.io | Pomofocus | Tools | Simple Pomodoro timer for focused work and study sessions.
https://slack.com | Slack | Tools | Team messaging and collaboration workspace with channels and app integrations.
https://workspace.google.com | Google Workspace | Tools | Google productivity and collaboration apps for email, documents, storage, and meetings.
https://www.microsoft.com/microsoft-365 | Microsoft 365 | Tools | Microsoft productivity apps, cloud storage, email, and collaboration services.
https://freedom.to | Freedom | Tools | Website and app blocker for scheduled focus sessions.
https://calendly.com | Calendly | Tools | Scheduling platform for booking meetings without back-and-forth email.
